,id,name,price,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,guests_included,availability_365,neighbourhood,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,latitude,longitude,review_scores_value,bed_type,room_type,cancellation_policy,property_type
0,42932,"Charming apartment, Oslo Center, Ro",1927.0,3,1.0,2.0,3.0,0.0,0.0,3,0.0,2,300,3,310,Frogner,30,96.0,10.0,10.0,10.0,10.0,59.91234,10.72384,10.0,Real Bed,Entire home/apt,moderate,Apartment
1,43431,Room for recreation up town Oslo,475.0,1,1.0,1.0,2.0,2000.0,350.0,1,300.0,2,30,1,0,Frogner,47,96.0,9.0,9.0,10.0,9.0,59.91811,10.707139999999999,9.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
2,71725,Central big room - ap with balcony ,484.0,3,1.0,1.0,2.0,0.0,244.0,2,195.0,4,730,2,243,Gamle Oslo,46,95.0,10.0,10.0,10.0,9.0,59.90611,10.78,10.0,Real Bed,Private room,moderate,Apartment
3,77108,Friendly & spacious in uptown Oslo,1857.0,8,1.5,3.0,0.0,0.0,0.0,6,0.0,7,31,6,241,Majorstuen,14,98.0,10.0,10.0,10.0,10.0,59.924780000000005,10.71649,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
4,85902,"Stylish design apt, east. Close to train station",786.0,4,1.0,2.0,3.0,2000.0,600.0,2,200.0,2,120,2,45,Gamle Oslo,51,94.0,9.0,9.0,10.0,9.0,59.91265,10.77263,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
5,88338,"Cozy, quiet and sunny! Adamstuen - central Oslo",734.0,2,1.0,1.0,1.0,976.0,293.0,2,293.0,5,730,2,0,St. Hanshaugen,10,98.0,9.0,10.0,10.0,10.0,59.93075,10.732610000000001,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
6,92103,Trendy Urban Downtown Oslo.,1270.0,4,1.0,1.0,4.0,864.0,346.0,1,173.0,3,365,1,365,Grünerløkka,20,97.0,10.0,9.0,10.0,9.0,59.91975,10.754660000000001,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
7,149776,Bird's nest in the heart of Oslo,734.0,2,1.0,1.0,1.0,0.0,195.0,1,98.0,4,365,1,210,St. Hanshaugen,33,98.0,10.0,10.0,10.0,10.0,59.92187,10.74817,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
8,149960,In the very heart of Oslo,432.0,4,1.5,2.0,2.0,2592.0,0.0,1,216.0,2,45,1,223,Majorstuen,118,97.0,10.0,10.0,10.0,10.0,59.919909999999994,10.73192,10.0,Real Bed,Private room,moderate,Apartment
9,163128,Very central&cosy apartment in Oslo,492.0,2,1.0,1.0,1.0,0.0,400.0,1,0.0,4,1125,1,0,Grünerløkka,33,87.0,9.0,9.0,9.0,9.0,59.9281,10.781930000000001,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
