id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42932,"Charming apartment, Oslo Center, Ro",187463,Cecilie,,Frogner,59.91234,10.72384,Entire home/apt,1927,2,30,2018-07-02,0.45,1,310
43431,Room for recreation up town Oslo,189712,Jayce,,Frogner,59.91811,10.70714,Private room,475,2,47,2016-10-25,0.47,3,0
71725,Central big room - ap with balcony ,368229,Reidun,,Gamle Oslo,59.90611,10.78,Private room,484,4,46,2018-10-31,0.47,1,243
77108,Friendly & spacious in uptown Oslo,412523,Gunn Hild,,Frogner,59.92478,10.71649,Entire home/apt,1857,7,14,2018-08-13,0.15,1,241
85902,"Stylish design apt, east. Close to train station",250159,Melissa,,Gamle Oslo,59.91265,10.77263,Entire home/apt,786,2,51,2019-02-11,0.54,1,45
88338,"Cozy, quiet and sunny! Adamstuen - central Oslo",483107,Julian,,St. Hanshaugen,59.93075,10.73261,Entire home/apt,734,5,10,2017-04-18,0.26,1,0
92103,Trendy Urban Downtown Oslo.,496205,Dorte,,Grünerløkka,59.91975,10.75466,Entire home/apt,1270,3,20,2013-08-18,0.21,1,365
149776,Bird's nest in the heart of Oslo,714768,Henrik,,St. Hanshaugen,59.92187,10.74817,Private room,734,4,33,2018-12-23,0.36,2,210
149960,In the very heart of Oslo,722814,Hilde,,Frogner,59.91991,10.73192,Private room,432,2,118,2019-02-07,1.27,2,223
163128,Very central&cosy apartment in Oslo,779118,Vibeke,,Grünerløkka,59.9281,10.78193,Entire home/apt,492,4,33,2016-11-06,0.36,1,0
174372,New spacious central 2BR w/terrace,114189,Christina,,Sagene,59.92978,10.75952,Entire home/apt,13814,100,36,2014-10-26,0.39,2,365
189484,Quiet apartment w balcony in Oslo,913934,Andreas,,Sagene,59.93227,10.75487,Entire home/apt,916,2,1,2015-07-01,0.02,1,75
190578,Private room in Oslo (very central),920584,Christel,,Frogner,59.92124,10.73108,Private room,648,1,1,2018-08-14,0.16,1,364
213320,"★ By Oslo central station, The Blue Apartment",374009,Jan,,Gamle Oslo,59.90956,10.76464,Entire home/apt,5503,1,221,2019-01-01,2.48,5,16
213353,Nice Apartment Near the Center,305171,R.G.,,Gamle Oslo,59.90845,10.77891,Private room,700,1,179,2018-12-27,1.97,1,148
256459,Waterfront suite 12 min from centre,1347737,Kåre & Truls,,Nordstrand,59.84859,10.77871,Entire home/apt,423,1,225,2019-02-01,2.91,2,313
275790,Modern 2 rooms near Grünerløkka ,793479,Espen,,Sagene,59.93275,10.75305,Entire home/apt,648,7,6,2018-12-17,0.07,1,73
284644,Central room in Oslo - Grünerløkka,1324869,Bente,,Grünerløkka,59.91894,10.76316,Private room,354,2,69,2018-12-06,0.85,1,9
287915,Spacious flat in great neighborhood,1497013,Beate,,Sagene,59.94031,10.7747,Entire home/apt,596,2,28,2015-07-07,0.33,3,0
308611,Close to Aker Brygge with balcony,1580257,Siren,,Frogner,59.91262,10.71126,Entire home/apt,976,2,6,2016-09-25,0.13,1,0
314213,VERY CENTRAL ! - self-served breakfast for 5 days,1614549,Peter Piotr,,St. Hanshaugen,59.91963,10.74973,Private room,371,3,92,2019-01-16,1.08,2,312
